name,unit,article
Картон обычный 5 кг,шт,674-1
Картон без крышки,шт,674-2
Картон обычный 10 кг,шт,674-3
Картон с крышкой,шт,188-1
Опилки палета,пакет,
Пергамент большой 30/40,упаковка,
Пергамент маленький 20/30,упаковка,
Пергамент маленький 17/30,упаковка,
Золотая подложка 180/120,кг,
Золотая подложка 250/165,кг,
Золотая подложка 60/180,кг,
Золотая подложка 180/110,кг,
Ведро 5 л,шт,
Крышка для ведра 5 л,шт,
Коробка 2.5 л,шт,mastrotec
Коробка 3 л,шт,
Коробка 1.5 л,шт,
Перец английский целый 1 кг,кг,1492580012
Перец чёрный целый 1 кг,кг,1806008012
Лавровый лист 1 кг,кг,1161390012
Гвоздика молотая 1 кг,кг,
Космея (кусбара) молотая 1 кг,кг,
Перец английский молотый 1 кг,кг,
Краска карамель сухая 1 кг,кг,300100102a1
Краска красная жидкая 25 л,кг,1435010011
Масло канола/подсолнечное,литр,
Содиум бензонат 99.5% 25 кг,упаковка,516109026
Уксус 99% 25 л,упаковка,508109000
Перекись водорода 35% 4.5 л,упаковка,514365000
Сорбет,упаковка,
Лакмусовые бумажки 500 ppm,упаковка,
Алкогризер 10 л,упаковка,
Средство для мытья посуды 10 л,упаковка,
Хлор концентр. 10.5% 10 кг,упаковка,
Одноразовые стаканы 1000 шт,упаковка,
Стиральный порошок,упаковка,
Одноразовый халат (платье),шт,
Бумага для рук маленькая 6 шт/уп,шт,
Туалетная бумага,упаковка,
Тряпка для пола,шт,
Швабра широкая,шт,
Швабра узкая,шт,
Ручка для швабры железная,шт,
Щётка для пола,шт,
Щётка-утюжок,шт,
Халат белый ткань,шт,
Одноразовая шапка,шт,
QUICKDES обработка поверхностей,упаковка,
Aquatabs,упаковка,
Перспетл 150,упаковка,
Башмат экстра (обработка рыбы),упаковка,
Бумага для рук 1200 м рулон,шт,
Перчатки M,упаковка,
Перчатки L,упаковка,
Перчатки XL,упаковка,
Мешки для мусора,упаковка,
Найлон прозрачный/белый для ящиков,упаковка,
Вакуумный пакет золотой 150/250,шт,
Вакуумный пакет золотой 130/400,шт,
Вакуумный пакет золотой 130/260,шт,
Вакуумный пакет прозрачный 200/350,шт,
Вакуумный пакет прозрачный 160/250,шт,
Вакуумный пакет прозрачный 250/350,шт,
Спонж для лосося,шт,